trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
992,False,"{'a': 0.5, 'e': 0.05076881716855639}",20,0,28.47015860944946,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
993,False,"{'a': 0.5, 'e': 0.05061651071705072}",30,4,27.025511817893385,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
994,False,"{'a': 0.5, 'e': 0.05046466118489957}",25,17,19.879053387990986,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
995,False,"{'a': 0.5, 'e': 0.05031326720134487}",20,16,6.989899347074671,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
996,False,"{'a': 0.5, 'e': 0.05016232739974084}",20,12,15.57992181461756,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
997,False,"{'a': 0.5, 'e': 0.050011840417541614}",30,19,7.91546929564537,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
998,False,"{'a': 0.5, 'e': 0.04986180489628899}",25,8,31.121669773923877,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
999,False,"{'a': 0.5, 'e': 0.04971221948160012}",20,10,20.800977804533066,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1000,False,"{'a': 0.5, 'e': 0.04956308282315532}",20,10,21.09773404949172,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1001,False,"{'a': 0.5, 'e': 0.049414393574685855}",25,19,14.289183448178537,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1002,False,"{'a': 0.5, 'e': 0.049266150393961795}",25,14,21.41928120238926,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1003,False,"{'a': 0.5, 'e': 0.04911835194277991}",25,19,10.300955890773512,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1004,False,"{'a': 0.5, 'e': 0.04897099688695157}",30,11,32.012268499898234,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1005,False,"{'a': 0.5, 'e': 0.04882408389629071}",20,9,18.619683000692753,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1006,False,"{'a': 0.5, 'e': 0.04867761164460184}",30,9,40.08066898054158,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1007,False,"{'a': 0.5, 'e': 0.04853157880966803}",25,19,3.406038762778512,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
1008,False,"{'a': 0.5, 'e': 0.048385984073239026}",20,10,17.21826857194163,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1009,False,"{'a': 0.5, 'e': 0.048240826121019306}",25,12,3.100554716955623,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
1010,False,"{'a': 0.5, 'e': 0.04809610364265625}",25,11,30.591116770577074,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1011,False,"{'a': 0.5, 'e': 0.04795181533172828}",20,11,19.841705958072787,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1012,False,"{'a': 0.5, 'e': 0.047807959885733095}",20,7,24.562699640278748,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1013,False,"{'a': 0.5, 'e': 0.0476645360060759}",20,0,-14.600486556497083,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1014,False,"{'a': 0.5, 'e': 0.04752154239805767}",20,7,11.10486581802869,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1015,False,"{'a': 0.5, 'e': 0.047378977770863494}",20,14,9.173933736899064,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1016,False,"{'a': 0.5, 'e': 0.047236840837550906}",20,13,0.279731955221205,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1017,False,"{'a': 0.5, 'e': 0.04709513031503825}",25,13,24.778275185710438,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1018,False,"{'a': 0.5, 'e': 0.04695384492409314}",20,10,19.337491414214632,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1019,False,"{'a': 0.5, 'e': 0.046812983389320856}",20,12,12.441868044392653,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1020,False,"{'a': 0.5, 'e': 0.04667254443915289}",35,24,20.23992801858205,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
